trial,val_rmse,val_mae,batch_size,epochs,learning_rate,weight_decay,patience,hidden_layers,dropout,scheduler_factor,scheduler_patience
76,0.5254515998938667,0.43223175406455994,64,350,0.0005,0.0003,25,"[32, 64]",0.3,0.5,12
77,0.5187796411893187,0.4239877462387085,32,250,0.0001,0.0005,40,"[128, 64, 32]",0.2,0.5,10
78,0.5246597936152603,0.42850109934806824,64,250,0.0006,0.0005,40,"[128, 64, 32]",0.3,0.5,10
79,0.5480755842632667,0.4356587827205658,16,250,1e-05,0.0004,30,"[128, 64]",0.3,0.5,10
80,0.5488290209779858,0.43056514859199524,64,250,1e-05,0.0003,25,"[32, 64]",0.25,0.5,10
81,0.5177897182741152,0.424789696931839,16,300,0.0004,0.0004,35,"[128, 64, 32]",0.2,0.5,12
82,0.5235294147469078,0.43550369143486023,32,350,0.0003,0.0002,25,"[128, 256]",0.3,0.5,8
83,0.5386040991399449,0.42003631591796875,16,250,1e-05,0.0003,30,"[32, 64]",0.25,0.5,8
84,0.5455230077040133,0.43074163794517517,64,250,1e-05,0.0005,40,"[256, 128, 64]",0.25,0.5,14
85,0.5440914704192517,0.4424617886543274,16,350,1e-05,0.0005,25,"[64, 64, 32]",0.2,0.5,10
86,0.5258907504505611,0.4268856942653656,16,300,0.0001,0.0003,30,"[512, 256]",0.2,0.5,12
87,0.5206466117577191,0.4303569793701172,64,350,0.0008,0.0001,40,"[256, 128, 64]",0.3,0.5,8
88,0.5049071020190102,0.4079097807407379,64,300,0.0008,0.0004,40,"[64, 64, 32]",0.3,0.5,12
89,0.5307110970228426,0.4323330819606781,32,300,0.0001,0.0001,40,"[512, 256, 128]",0.2,0.5,8
90,0.5204336890141465,0.429015189409256,32,250,0.1,0.0001,30,"[64, 64, 32]",0.3,0.5,8
91,0.5266770846608056,0.4250040650367737,32,300,0.001,0.0003,35,"[64, 64, 32]",0.2,0.5,12
92,0.5143304526505279,0.41655227541923523,32,350,0.0006,0.0005,30,"[64, 64, 32]",0.35,0.5,14
93,0.522560495178151,0.4223947823047638,64,300,0.0008,0.0005,35,"[512, 256]",0.3,0.5,14
94,0.5277180508927299,0.4334077835083008,64,300,0.0001,0.0001,40,"[512, 256]",0.25,0.5,10
95,0.41875117145203666,0.29813534021377563,16,250,0.1,0.0003,30,"[256, 128, 64]",0.35,0.5,8
96,0.5212260831747804,0.41197168827056885,16,300,0.001,0.0003,30,"[512, 256, 128]",0.25,0.5,10
97,0.5240343022366516,0.4318290948867798,16,350,1e-05,0.0005,35,"[64, 64, 32]",0.3,0.5,12
98,0.5181027902092503,0.4169403910636902,16,250,0.0008,0.0001,25,"[256, 128, 64]",0.2,0.5,14
99,0.5494355339576625,0.4506576955318451,64,250,1e-05,0.0004,30,"[512, 256]",0.2,0.5,8
100,0.5281002975645782,0.425307035446167,64,350,0.0008,0.0004,30,"[512, 256]",0.3,0.5,12
