feature_name
num__log_harga
num__is_non_brand
num__berat_kg
num__ukuran_cm
num__panjang_meter
num__tebal_mm
num__yard
num__jumlah_pcs
num__jumlah_lembar
num__jumlah_dimensi_x
num__panjang_nama
num__jumlah_token
cat__kategori_grouped_Kardus Kemasan
cat__kategori_grouped_Kemasan Fleksible
cat__kategori_grouped_Kemasan Pengiriman
cat__kategori_grouped_Lainnya
cat__kategori_grouped_Pelindung Kemasan
cat__kategori_grouped_Pengikat
cat__kategori_grouped_Peralatan Industri
cat__kategori_grouped_Peralatan Rumah
cat__kategori_grouped_Perekat
cat__kategori_grouped_Perlengkapan Rumah
cat__jenis_produk_bubble wrap
cat__jenis_produk_kardus
cat__jenis_produk_lainnya
cat__jenis_produk_lakban
cat__jenis_produk_pe foam
cat__jenis_produk_plastik
cat__jenis_produk_plastik hd
cat__jenis_produk_plastik pe
cat__jenis_produk_thermal
cat__jenis_produk_wrapping
cat__jenis_produk_infrequent_sklearn
cat__merek_global
cat__merek_hiro
cat__merek_lainnya
cat__merek_non brand
cat__merek_sanpack
cat__merek_smilepack
cat__merek_upack
cat__merek_yatta
cat__merek_infrequent_sklearn
cat__warna_bening
cat__warna_coklat
cat__warna_hitam
cat__warna_lainnya
cat__warna_merah
cat__warna_putih
cat__warna_infrequent_sklearn
