trial,best_epoch,best_val_rmse,batch_size,learning_rate,weight_decay,dropout,max_epochs,patience,hidden_layers
20,43,0.4593953990948355,32,0.0005,0.01,0.2,100,20,"[128, 128, 64]"
90,57,0.46006341266476775,64,0.0001,0.001,0.0,300,10,"[128, 64]"
33,30,0.4600794775086764,128,0.0003,1e-06,0.2,100,15,"[256, 128, 64]"
78,57,0.4600894691699792,128,0.0003,0.0,0.25,150,15,"[256, 128]"
86,41,0.4602334415994224,32,0.0003,0.01,0.2,250,15,"[128, 128, 64]"
75,54,0.46030163953494524,64,0.001,0.01,0.25,300,25,"[128, 64]"
32,8,0.46094908942184276,32,0.005,0.0001,0.3,100,20,"[128, 128, 64]"
8,18,0.4612594869976766,32,0.0001,0.0001,0.3,100,25,"[256, 128]"
70,43,0.4614691174052898,64,0.0001,1e-05,0.1,250,15,"[256, 128]"
59,38,0.46174349065033,128,0.0003,1e-06,0.05,250,20,"[128, 64]"
58,26,0.4622276967270951,64,0.0003,1e-05,0.2,200,20,"[256, 128]"
94,7,0.4622780331662362,32,0.01,0.001,0.3,150,15,"[256, 128, 64]"
47,31,0.4623653795881721,32,0.0001,1e-05,0.15,200,10,"[128, 64]"
89,13,0.46238413596634576,64,0.0005,0.001,0.15,250,20,"[128, 64]"
77,16,0.46296911741068975,64,0.0003,0.0001,0.25,100,15,"[256, 128, 64]"
25,15,0.46304870674616705,32,0.0003,0.001,0.25,100,10,"[128, 64]"
2,37,0.463363598971682,128,0.0001,0.01,0.25,250,20,"[128, 64]"
80,31,0.46526240881719655,64,0.0001,0.01,0.15,150,25,"[128, 128, 64]"
66,27,0.4654220221845133,64,0.0003,0.001,0.3,100,15,"[128, 128, 64]"
30,26,0.4654357890546754,128,0.0003,0.0,0.3,200,10,"[512, 256, 128]"
23,32,0.4662049502886035,128,0.0001,0.0001,0.25,100,15,"[128, 64]"
