alpha,val_rmse,val_mae
300,0.5685089673428353,0.4545817281260635
150,0.5687210807034412,0.4552178816361861
100,0.5689497360396478,0.4564068888172959
50,0.5707097298521872,0.4590751026615952
30,0.5735882671856477,0.4617246187094486
10,0.5863607855378742,0.4723429976087628
3,0.6172804841011812,0.49486377564343537
