trial,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,use_batchnorm,best_epoch,val_rmse,val_mae
172,64,0.0004,0.003,"[32, 64]",0.3,mse,True,41,0.5428385000988768,0.4306205612627866
72,128,0.0005,0.005,"[128, 64]",0.25,mse,True,26,0.5429560598708432,0.4344198117120785
114,128,0.0005,0.01,"[128, 64]",0.2,mse,True,11,0.543162173966908,0.4399073800830059
27,16,0.0004,0.005,"[128, 256]",0.2,mse,True,24,0.5432176161258998,0.433605121889325
166,128,0.0006,0.007,"[128, 64]",0.2,mse,True,8,0.5433541592115444,0.43537775274330887
173,128,0.0004,0.04,"[128, 64]",0.1,mse,True,1,0.5438252225866348,0.4370636917439169
23,64,0.0005,0.003,"[128, 256]",0.25,mse,True,15,0.5439425484900807,0.43966928867135513
145,64,0.0004,0.005,"[128, 64]",0.15,mse,True,9,0.5444972875084106,0.4435875994925995
134,128,0.0003,0.005,"[128, 64]",0.2,mse,True,28,0.5446380639751898,0.4333854676797187
45,128,0.0006,0.005,"[128, 64]",0.3,mse,True,28,0.5447949999284092,0.4366143434205642
64,128,0.0004,0.007,"[32, 64]",0.15,mse,True,1,0.5448049158661719,0.4497084858289652
46,64,0.0004,0.003,"[128, 64]",0.15,mse,True,10,0.5453407538169722,0.4309064439418564
152,64,0.0003,0.004,"[128, 64]",0.25,mse,True,21,0.5454048017463846,0.43800697943389605
150,128,0.0005,0.04,"[128, 64]",0.3,mse,True,16,0.5461780189998495,0.4378561349321239
188,64,0.0007,0.03,"[32, 64]",0.15,mse,True,21,0.5463977001489325,0.4364981861896695
15,128,0.0003,0.04,"[128, 64]",0.2,mse,True,26,0.5464843116873065,0.435595478545228
37,128,0.0003,0.01,"[128, 256]",0.1,mse,True,4,0.546612436945322,0.4295229152174026
142,32,0.0002,0.004,"[128, 64]",0.1,mse,True,2,0.5466598109888897,0.4307313657333422
190,64,0.0003,0.04,"[32, 64]",0.1,mse,True,18,0.5476737872332913,0.4438068528280649
175,64,0.0003,0.03,"[32, 64]",0.1,mse,True,28,0.5479112231303109,0.4351978565240132
137,32,0.0002,0.007,"[256, 512]",0.15,mse,True,10,0.5480523604800025,0.436346863346521
176,32,0.0006,0.01,"[128, 64]",0.1,mse,True,9,0.5489660347451296,0.42895261722408257
