config_key,mean_best_epoch,median_best_epoch,std_best_epoch,mean_val_rmse,std_val_rmse,mean_val_mae,std_val_mae,target_hit_count,target_hit_all_repeats,batch_size,learning_rate,weight_decay,hidden_layers,dropout,max_epochs,patience,use_batchnorm,loss_name,round_to_half
"{""batch_size"": 64, ""dropout"": 0.0, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",45.0,37,16.51262143533445,0.44592608883967166,0.004876571466505479,0.36124079426129657,0.0023655175072474677,0,0,64,0.001,0.0,"[128, 64]",0.0,200,20,True,mse,False
"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-05}",56.0,45,40.3567425180312,0.4483916195798658,0.005156457927204552,0.3574040432771047,0.0014203692515939253,0,0,32,0.001,1e-05,"[128, 128, 64]",0.05,250,25,True,huber,False
"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [256, 128], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",40.0,37,17.682382946499793,0.4496368822653196,0.002115851691980572,0.3618862231572469,0.004174249524875114,0,0,32,0.001,0.0,"[256, 128]",0.15,200,20,True,mse,False
"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 200, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0}",53.333333333333336,41,25.616834742454465,0.4499067883825616,0.0018170995164725331,0.35820092757542926,0.0015652857442001351,0,0,32,0.001,0.0,"[128, 64]",0.05,200,25,False,huber,False
"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0001}",25.666666666666668,20,10.96458946893235,0.45216621264713036,0.002654676846749139,0.3651426335175832,0.0019692834746935497,0,0,64,0.0005,0.0001,"[256, 128]",0.05,250,25,False,mse,False
