trial_id,objective_score,best_val_rmse,best_val_mae,best_train_rmse,best_train_mae,generalization_gap,best_epoch,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,norm_name,activation_name,text_max_features,text_min_df,text_svd_components,category_min_count
192,0.41932373106071164,0.41932373106071164,0.32335244141188746,0.4125041076849265,0.3110372010722781,0.006819623375785122,32,64,5.5e-05,0.00015,"[96, 48]",0.18,huber,layernorm,silu,3000,3,48,12
128,0.4212969834880758,0.4212969834880758,0.31396539105570376,0.4129942819401957,0.31236121289223384,0.008302701547880098,35,96,6e-05,0.00015,"[128, 64]",0.1,huber,layernorm,silu,3000,3,40,16
93,0.4220794248469651,0.4218142017678227,0.31839159556797575,0.4104880863721106,0.3082393060209724,0.0113261153957121,28,64,6.5e-05,0.00015,"[128, 64]",0.15,huber,layernorm,silu,3000,3,40,16
67,0.42221755530006455,0.42221755530006455,0.3214243397924113,0.4267514205846422,0.3233340913813432,-0.004533865284577665,18,64,6e-05,0.00015,"[128, 64, 32]",0.15,huber,layernorm,silu,3000,3,32,12
165,0.42284995444996143,0.42284995444996143,0.3233811221099252,0.4291465887920571,0.3265125543320984,-0.006296634342095653,35,96,6.5e-05,0.0001,"[128, 64, 32, 16]",0.18,huber,layernorm,silu,3000,3,40,10
24,0.42311256581954193,0.42298448768683333,0.33063885848510444,0.4123440970232902,0.31449605998333047,0.010640390663543109,34,96,6.5e-05,0.00015,"[96, 48]",0.1,huber,layernorm,silu,3000,3,40,10
39,0.42345456130609255,0.42345456130609255,0.3194455407523169,0.4173653244324209,0.3144687989594713,0.006089236873671633,35,64,5e-05,0.0002,"[128, 64]",0.15,huber,layernorm,silu,3000,3,48,10
2,0.4244680444930379,0.4244680444930379,0.3156734440714268,0.4178838156628056,0.31478414072039884,0.006584228830232297,26,96,6e-05,7e-05,"[128, 64]",0.1,huber,layernorm,silu,3000,3,40,12
112,0.4255231536019258,0.42515875612403636,0.31811728735862693,0.4133367687345894,0.30943764925395834,0.011821987389446953,29,64,6.5e-05,0.0002,"[96, 48]",0.1,huber,layernorm,silu,3000,3,48,12
140,0.4256947885241408,0.4256947885241408,0.32205390225490327,0.41996752372799184,0.3212411953550587,0.005727264796148934,35,96,3e-05,0.00015,"[96, 48]",0.1,huber,layernorm,silu,3000,3,48,12
182,0.426208357938541,0.4259996861414483,0.31815742271874337,0.4149563271559848,0.311520515595865,0.011043358985463492,35,64,5e-05,0.0001,"[128, 64]",0.15,huber,layernorm,silu,3000,3,48,16
173,0.4263345659050435,0.4261227655314193,0.3197518980561806,0.4150637636632984,0.3139216550295985,0.011059001868120921,35,64,5.5e-05,0.00015,"[128, 64, 32]",0.18,huber,layernorm,silu,3000,3,40,10
163,0.42650746122166416,0.42485833853354577,0.32054929075569943,0.40661272509295365,0.30589975792257945,0.018245613440592112,27,64,6.5e-05,7e-05,"[128, 64, 32]",0.1,huber,layernorm,silu,3000,3,40,10
117,0.42668390805029655,0.42668390805029655,0.32563968597374526,0.43762983362447455,0.33234013403463597,-0.010945925574178006,35,96,4e-05,0.00015,"[96, 48]",0.18,huber,layernorm,silu,3000,3,40,16
103,0.42747222644416755,0.42747222644416755,0.3239981858013886,0.4233656227509787,0.318306826681046,0.004106603693188826,28,96,6e-05,7e-05,"[128, 64, 32]",0.1,huber,layernorm,silu,3000,3,40,10
80,0.42754234654442774,0.42754234654442774,0.31935335262655623,0.4249770516027935,0.3230543183730501,0.0025652949416342663,28,64,6e-05,0.0002,"[96, 48]",0.15,huber,layernorm,silu,3000,3,32,10
56,0.4284284241564535,0.427481453320198,0.3184328302374027,0.4127465991389205,0.3080528065243113,0.014734854181277512,35,64,6.5e-05,0.0002,"[128, 64]",0.18,huber,layernorm,silu,3000,3,40,12
35,0.4285681500697119,0.4285681500697119,0.32436546903525665,0.43851516283644,0.3317485550875719,-0.009947012766728103,35,64,4e-05,0.0001,"[128, 64, 32, 16, 8]",0.15,huber,layernorm,silu,3000,3,32,12
199,0.4287792617889722,0.4287792617889722,0.3306609961786881,0.4343362108692926,0.3242643201567196,-0.005556949080320395,35,96,3e-05,0.0001,"[128, 64]",0.12,huber,layernorm,silu,3000,3,32,10
168,0.4288256964394565,0.4282816927878267,0.31697854385000146,0.41556167452967757,0.3100561054770204,0.012720018258149113,35,64,6.5e-05,0.0002,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,40,16
11,0.42896592149998397,0.42896592149998397,0.3188203203267065,0.42457860601437386,0.31315441343693995,0.00438731548561011,18,64,6.5e-05,7e-05,"[128, 64]",0.1,huber,layernorm,silu,3000,3,48,16
28,0.42923590572129305,0.42923590572129305,0.3296218611336694,0.42762599487695807,0.32567025527137117,0.001609910844334983,35,96,4e-05,0.0002,"[128, 64]",0.1,huber,layernorm,silu,3000,3,40,10
63,0.4294662609772649,0.4294662609772649,0.3280158888530261,0.42675134836147344,0.32395568475299064,0.002714912615791487,35,64,5.5e-05,7e-05,"[128, 64, 32, 16, 8]",0.15,huber,layernorm,silu,3000,3,32,16
20,0.4296064805343357,0.4296064805343357,0.3284441696599199,0.4232467464142421,0.3202321827902629,0.0063597341200936075,35,64,5.5e-05,7e-05,"[96, 48]",0.18,huber,layernorm,silu,3000,3,40,10
184,0.429925647600061,0.429925647600061,0.3276513832543284,0.4200195672849388,0.3148961652444654,0.009906080315122245,35,96,6e-05,0.00015,"[128, 64, 32, 16]",0.1,huber,layernorm,silu,3000,3,48,10
40,0.430224456439361,0.430224456439361,0.3220828037543837,0.4243684074923649,0.31498092599519983,0.005856048946996151,34,64,6e-05,0.0002,"[128, 64]",0.12,huber,layernorm,silu,3000,3,32,10
81,0.43070572023362363,0.4285777625010447,0.3202879464097798,0.40793797383814984,0.3034027133388614,0.020639788662894842,35,96,5.5e-05,0.00015,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,32,12
135,0.4308555286223386,0.4308301093434542,0.3224625892827076,0.4207030129490323,0.31885382842389126,0.010127096394421942,33,64,5e-05,0.00015,"[128, 64]",0.18,huber,layernorm,silu,3000,3,32,16
97,0.4308605392708013,0.42986981458013035,0.3257847971516877,0.4149161911267754,0.3142493081446338,0.014953623453354936,35,64,6e-05,0.0002,"[96, 48]",0.12,huber,layernorm,silu,3000,3,48,16
43,0.43104261696843993,0.43104261696843993,0.3237116959294662,0.42674963573134744,0.32011930671515926,0.004292981237092486,17,64,6e-05,0.0002,"[128, 64, 32]",0.1,huber,layernorm,silu,3000,3,48,12
68,0.4315723369518425,0.4315723369518425,0.328508402913662,0.4257764277594227,0.3220775736222746,0.00579590919241979,30,64,4e-05,0.00015,"[128, 64]",0.15,huber,layernorm,silu,3000,3,40,12
95,0.43257915970170646,0.4309003160240706,0.31867045956879414,0.41250609763589113,0.30556012221183965,0.01839421838817945,35,96,6e-05,0.0002,"[128, 64]",0.12,huber,layernorm,silu,3000,3,32,16
170,0.43261137365099095,0.43261137365099095,0.328205991848349,0.4362061141664935,0.3313480923949592,-0.0035947405155025702,35,64,5e-05,0.00015,"[128, 64, 32, 16]",0.18,huber,layernorm,silu,3000,3,40,12
183,0.432722632414617,0.43191917537275487,0.3288061325185992,0.41790189016344415,0.313331195118007,0.014017285209310726,23,64,6.5e-05,0.0002,"[128, 64, 32, 16]",0.1,huber,layernorm,silu,3000,3,48,16
91,0.4327650317147314,0.4327650317147314,0.33300277517346916,0.42522533906761645,0.3186816238296484,0.0075396926471149595,35,96,5e-05,0.00015,"[128, 64]",0.18,huber,layernorm,silu,3000,3,40,10
32,0.43297655494510917,0.43297655494510917,0.329695624083721,0.42634181601191157,0.3175440466973495,0.006634738933197604,35,64,4e-05,7e-05,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,48,12
151,0.43341729580692995,0.4323022263237875,0.3210623475718381,0.41672687890807536,0.3108815561605639,0.015575347415712149,35,64,6.5e-05,7e-05,"[96, 48]",0.18,huber,layernorm,silu,3000,3,32,12
133,0.43349883435409176,0.4332369195582986,0.32644273847194727,0.42192734557933287,0.31621404063367764,0.011309573978965759,35,64,4e-05,7e-05,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,32,16
1,0.4335540522758881,0.4331108941133195,0.3310776144412938,0.4208951033004763,0.3192219357121325,0.012215790812843186,35,64,3e-05,0.0001,"[128, 64]",0.12,huber,layernorm,silu,3000,3,32,12
109,0.4338884577592352,0.4338884577592352,0.323097966574683,0.43537978644957603,0.3260370208168344,-0.001491328690340854,35,96,6e-05,0.0001,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,48,12
21,0.43400650959348747,0.432052162850462,0.3254814171438734,0.41228042913533475,0.3061386922242418,0.01977173371512725,35,64,6e-05,0.0002,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,40,10
191,0.4340130226178445,0.4319638212600844,0.32825262558284063,0.41171781447128386,0.3074684056654401,0.020246006788800563,34,64,6.5e-05,0.0001,"[128, 64]",0.1,huber,layernorm,silu,3000,3,40,16
132,0.4340518720323538,0.4340518720323538,0.33868918277947185,0.4369868218388847,0.33848782779750164,-0.0029349498065309176,35,96,6.5e-05,0.00015,"[128, 64, 32, 16, 8]",0.18,huber,layernorm,silu,3000,3,48,16
101,0.4341850649718734,0.4341850649718734,0.33377301399343706,0.4396330582849008,0.3339229612020527,-0.005447993313027366,35,64,2e-05,0.00015,"[128, 64]",0.15,huber,layernorm,silu,3000,3,40,10
157,0.43486137990998397,0.4347934544759911,0.32901564490031726,0.4244538273060269,0.32023891782053615,0.010339627169964227,32,64,4e-05,0.00015,"[128, 64, 32, 16]",0.1,huber,layernorm,silu,3000,3,32,16
156,0.4349133859101978,0.43434812757207125,0.3286222190105269,0.42152183588143854,0.31180173364856095,0.012826291690632707,35,96,6.5e-05,0.0001,"[128, 64, 32, 16, 8]",0.12,huber,layernorm,silu,3000,3,32,10
131,0.4349458628385308,0.4349458628385308,0.3254421415000126,0.4254331682165393,0.31653094213130645,0.009512694621991502,35,64,5e-05,7e-05,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,32,10
88,0.4349889692508386,0.43410397603937884,0.32563275069438763,0.41967900998208024,0.31354618779517085,0.014424966057298594,35,96,6e-05,0.00015,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,40,12
