model,cv_rmse_mean,cv_rmse_std,test_rmse,test_mae,test_r2,selected_name
baseline_mean,0.08514167982937268,0.03762611107891486,0.05690482534641081,0.04975891291642341,-0.011852064018216701,
ridge_alpha_1000.0,0.08542577797276284,0.0376138364100964,0.05694165602914828,0.049655022787691974,-0.01316229605574204,
selected_model,0.08514167982937268,0.03762611107891486,0.05690482534641081,0.04975891291642341,-0.011852064018216701,DummyRegressor(mean baseline)
