seed,best_epoch,best_train_rmse,best_val_rmse,best_val_mae,generalization_gap,test_loss,test_rmse,test_mae,test_mape,test_within_half_point,test_halfstep_accuracy
42,35,0.02329454189876253,0.02390166076295899,0.010233513827394382,0.0006071188641964577,0.004208705502130972,0.024157274901373284,0.012004943316793207,1.2004943316793206,1.0,1.0
124,35,0.02466033596563902,0.02427159200669564,0.012797362111472144,-0.00038874395894338,0.0030570884356779858,0.026114446557986802,0.015605855457888448,1.5605855457888447,1.0,1.0
777,35,0.02393472273858804,0.024439276113625275,0.011441331778841065,0.0005045533750372352,0.007078064480862979,0.02633591735998967,0.012511661487259889,1.2511661487259889,1.0,1.0
3407,21,0.052373961419252955,0.04885069760280917,0.030366194072028098,-0.0035232638164437863,0.007654210997589409,0.05038978754293557,0.029985840097436763,2.9985840097436762,1.0,1.0
2026,1,0.12033027830003572,0.13084963786626022,0.03931545976347524,0.010519359566224504,0.21495821763729228,0.10122263974219062,0.02893797047619749,2.893797047619749,1.0,0.9753694581280788
